"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Houston Texans","","49.6","14.4","11.6","18.3","2.8","1.0","322.2","5060.0","120.3"
"Denver Broncos","","58.4","13.3","8.3","12.3","2.4","0.5","318.5","4836.6","116.9"
"Minnesota Vikings","","49.3","12.6","12.0","18.0","2.3","0.0","360.5","5280.7","112.6"
"Pittsburgh Steelers","","45.8","13.3","12.9","18.9","2.4","0.0","346.1","5429.5","112.4"
"Seattle Seahawks","","46.4","13.6","8.4","13.6","3.2","0.5","313.6","5116.7","110.6"
"Los Angeles Rams","","48.4","13.4","9.5","14.5","2.4","0.5","341.5","5155.7","109.3"
"Los Angeles Chargers","","48.8","15.3","8.7","12.7","2.0","0.0","366.1","5467.6","108.6"
"Buffalo Bills","","42.7","14.6","9.7","12.8","2.5","0.5","392.1","5726.4","107.0"
"Detroit Lions","","48.1","13.4","9.0","13.9","2.2","0.5","373.4","5442.5","106.9"
"Atlanta Falcons","","49.3","12.6","7.9","12.1","2.3","0.5","419.2","5670.5","105.0"
"Philadelphia Eagles","","42.4","13.0","10.0","14.4","2.4","0.0","323.3","5265.7","102.6"
"Baltimore Ravens","","46.0","12.8","9.3","14.1","1.9","0.0","352.9","5227.7","101.7"
"Cleveland Browns","","46.3","12.1","8.5","12.6","2.2","0.0","384.9","5178.3","101.0"
"Chicago Bears","","38.9","14.0","10.7","16.7","2.1","0.0","398.4","5974.4","100.9"
"Jacksonville Jaguars","","37.1","13.9","9.6","13.7","2.6","0.0","386.9","5486.6","99.8"
"New Orleans Saints","","44.9","12.2","8.4","12.9","2.2","0.0","392.1","5426.7","99.7"
"New England Patriots","","41.1","11.9","9.0","13.0","2.6","0.5","358.9","5319.8","99.5"
"Cincinnati Bengals","","41.2","13.1","9.8","13.4","2.0","0.0","411.4","5815.8","99.1"
"Tampa Bay Buccaneers","","41.2","11.7","9.7","13.5","1.9","0.5","390.2","5579.7","96.5"
"Tennessee Titans","","44.9","10.1","8.5","13.0","2.1","0.5","463.7","5961.6","95.8"
