"Player","Team","FG","FGA","XPT","FPTS"
"Brandon Aubrey","DAL","33.5","37.3","41.2","141.6"
"Matt Gay","WAS","29.9","35.3","47.3","137.1"
"Chase McLaughlin","TB","30.1","32.6","46.1","136.4"
"Jake Elliott","PHI","29.3","34.2","46.2","134.1"
"Jason Sanders","MIA","31.0","35.0","40.3","133.4"
"Cameron Dicker","LAC","31.5","34.3","38.1","132.7"
"Tyler Bass","BUF","27.0","32.9","51.1","132.2"
"Tyler Loop","BAL","27.4","32.5","47.5","129.6"
"Evan McPherson","CIN","27.4","33.6","47.2","129.5"
"Jake Bates","DET","26.9","30.3","48.4","129.0"
"Ka'imi Fairbairn","HOU","30.7","34.7","36.5","128.4"
"Harrison Butker","KC","28.7","33.3","42.3","128.3"
"Brandon McManus","GB","27.7","32.3","44.3","127.3"
"Younghoe Koo","ATL","28.0","34.4","42.2","126.2"
"Chris Boswell","PIT","30.2","33.7","35.4","126.0"
"Wil Lutz","DEN","28.4","32.3","39.6","124.7"
"Joshua Karty","LAR","28.7","34.0","38.6","124.6"
"Will Reichard","MIN","28.0","33.4","40.5","124.5"
"Jake Moody","SF","27.7","34.7","40.3","123.5"
