"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","521.8","334.1","3,911.3","29.0","10.5","115.8","572.2","10.7","3.4","376.6"
"Lamar Jackson","BAL","480.6","321.2","3,923.0","32.5","8.3","134.7","827.8","3.9","4.5","375.6"
"Jalen Hurts","PHI","461.2","311.5","3,534.7","23.7","8.9","147.3","633.5","12.6","3.9","358.7"
"Jayden Daniels","WAS","535.9","364.0","3,897.2","26.9","10.7","136.6","746.9","5.6","2.5","355.8"
"Joe Burrow","CIN","626.2","433.7","4,632.8","35.9","10.5","48.2","180.2","2.1","3.8","341.5"
"Patrick Mahomes II","KC","604.7","409.6","4,271.9","30.2","12.1","76.4","371.4","2.9","2.5","328.9"
"Baker Mayfield","TB","558.2","386.7","4,190.9","33.1","14.7","64.2","287.8","2.6","3.9","321.5"
"Kyler Murray","ARI","543.1","370.8","3,855.4","24.5","11.2","88.6","551.4","5.1","3.8","319.0"
"Brock Purdy","SF","526.0","351.6","4,309.9","27.0","12.7","65.1","280.8","3.6","2.9","311.5"
"Bo Nix","DEN","560.2","366.2","3,805.1","27.3","12.1","88.8","422.2","3.5","2.0","308.7"
"Justin Fields","NYJ","514.8","320.2","3,338.5","19.9","11.2","130.4","725.6","5.9","3.8","302.5"
"J.J. McCarthy","MIN","569.2","370.6","4,118.6","28.3","14.6","56.6","255.1","2.0","3.8","293.0"
"Justin Herbert","LAC","540.1","354.0","3,975.8","25.8","8.6","65.4","272.2","2.6","2.5","291.5"
"Dak Prescott","DAL","600.0","395.0","4,247.0","27.6","12.2","42.7","179.4","1.9","3.0","291.4"
"Jared Goff","DET","551.0","381.1","4,371.8","30.3","11.5","32.7","68.9","0.6","2.9","289.2"
"Caleb Williams","CHI","561.9","356.9","3,757.6","23.6","10.3","87.5","472.4","2.4","4.5","287.3"
"C.J. Stroud","HOU","556.2","357.9","4,048.9","24.9","10.6","59.1","258.2","1.7","3.7","279.8"
"Jordan Love","GB","510.3","327.4","3,914.2","27.7","12.2","41.5","166.8","1.9","2.5","278.3"
"Trevor Lawrence","JAC","553.1","355.2","3,979.8","23.3","13.2","54.8","253.7","3.0","4.1","274.6"
"Drake Maye","NE","519.6","346.4","3,568.3","22.0","12.9","75.3","477.5","3.0","4.8","273.9"
"Matthew Stafford","LAR","563.8","370.0","4,139.8","26.4","11.0","30.0","73.4","0.7","2.8","266.6"
"Michael Penix Jr.","ATL","541.5","347.0","3,914.8","23.5","13.2","52.2","196.5","2.1","3.2","263.3"
"Bryce Young","CAR","557.5","354.9","3,626.5","21.6","11.8","53.0","294.4","3.5","3.5","263.0"
"Tua Tagovailoa","MIA","576.1","399.7","4,147.5","26.0","12.0","26.8","85.5","0.5","3.6","262.7"
"Geno Smith","LV","572.4","384.1","3,995.5","21.9","13.6","54.0","241.5","1.7","2.8","262.4"
"Sam Darnold","SEA","555.0","363.6","3,873.3","23.0","14.1","58.7","202.5","1.8","3.8","256.6"
"Cameron Ward","TEN","520.8","332.2","3,595.3","21.6","13.9","74.2","330.3","2.3","4.1","255.1"
"Aaron Rodgers","PIT","542.5","348.1","3,746.0","22.9","9.7","22.4","80.6","0.4","2.8","236.9"
"Anthony Richardson Sr.","IND","350.4","194.3","2,278.6","13.4","10.7","98.1","480.0","4.6","3.1","203.3"
"Russell Wilson","NYG","426.6","272.4","2,881.3","15.3","8.2","50.3","212.1","1.8","2.6","195.3"
