"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jahmyr Gibbs","DET","267.2","1413.3","13.2","70.4","566.7","4.1","1.1","334.4"
"Bijan Robinson","ATL","295.7","1426.4","9.0","73.8","663.7","3.4","1.8","316.4"
"Christian McCaffrey","SF","261.4","1088.1","8.4","78.4","686.8","4.5","1.1","292.1"
"Jonathan Taylor","IND","317.9","1465.8","12.7","45.2","353.7","1.6","1.7","286.8"
"Derrick Henry","BAL","319.5","1541.5","13.2","21.6","210.8","1.0","1.7","267.7"
"De'Von Achane","MIA","237.3","1200.5","6.2","69.8","532.0","3.8","1.0","265.8"
"James Cook III","BUF","297.7","1451.4","10.5","30.7","260.2","1.7","2.4","255.2"
"Chase Brown","CIN","249.9","1085.8","7.7","65.2","444.3","4.0","1.1","253.2"
"Saquon Barkley","PHI","295.7","1327.4","8.3","45.0","353.3","2.2","1.0","251.7"
"Kenneth Walker III","KC","264.5","1174.1","8.7","45.3","346.9","1.5","0.9","234.4"
"Ashton Jeanty","LV","265.7","1082.4","7.1","52.2","366.1","2.7","1.1","227.6"
"Omarion Hampton","LAC","249.7","1050.1","8.9","48.2","327.6","1.9","1.0","224.4"
"Breece Hall","NYJ","257.3","1151.2","6.1","45.9","394.2","2.1","1.7","223.7"
"Javonte Williams","DAL","264.3","1172.8","9.9","32.6","190.4","1.3","1.6","216.9"
"Travis Etienne Jr.","NO","259.1","1084.8","5.9","43.0","332.1","2.7","1.0","212.8"
"Cam Skattebo","NYG","244.0","1007.4","7.7","43.9","336.3","2.1","1.6","211.5"
"Kyren Williams","LAR","232.7","1080.0","9.4","30.8","215.2","2.0","1.5","210.6"
"Jeremiyah Love","ARI","223.4","990.0","6.4","49.0","384.2","1.9","2.2","207.2"
"D'Andre Swift","CHI","232.0","1041.3","7.9","36.5","307.7","1.3","1.0","206.6"
"Quinshon Judkins","CLE","287.4","1125.1","7.5","29.8","202.1","0.6","0.9","194.6"
"Bucky Irving","TB","247.6","1001.0","5.7","37.2","307.8","2.0","1.0","193.7"
"David Montgomery","HOU","237.7","998.0","8.4","29.8","222.0","0.7","1.5","188.3"
"Jaylen Warren","PIT","197.1","877.6","5.0","41.7","312.7","1.8","1.0","178.6"
"Rhamondre Stevenson","NE","182.3","787.5","6.6","40.0","331.2","1.7","2.1","177.4"
"Bhayshul Tuten","JAC","224.7","925.5","7.9","24.1","182.7","1.7","2.2","176.3"
"TreVeyon Henderson","NE","170.4","832.1","6.2","32.9","231.8","1.2","0.8","165.8"
"J.K. Dobbins","DEN","215.5","1019.6","6.8","19.0","103.6","0.7","0.7","165.5"
"Tony Pollard","TEN","229.4","995.8","4.8","31.1","195.2","0.7","2.1","163.4"
"Rico Dowdle","PIT","201.6","881.1","5.6","28.1","195.4","1.0","1.0","158.9"
"Chuba Hubbard","CAR","192.1","794.5","5.2","34.1","233.3","1.6","0.9","158.7"
"Jadarian Price","SEA","200.6","841.5","7.1","19.5","164.8","0.8","2.0","153.7"
"Aaron Jones Sr.","MIN","154.1","673.7","3.3","42.3","306.4","1.9","1.0","148.0"
"Kyle Monangai","CHI","179.6","769.7","5.3","24.4","198.9","0.7","0.7","143.2"
"Jacory Croskey-Merritt","WAS","187.8","836.4","7.2","12.1","88.6","0.3","1.8","140.2"
"RJ Harvey","DEN","111.9","438.8","3.9","45.4","333.5","3.0","0.7","139.7"
"Rachaad White","WAS","140.4","606.9","4.9","32.8","225.6","1.5","0.8","136.2"
"Jonathon Brooks","CAR","166.2","688.9","4.7","26.2","198.0","1.0","1.5","132.6"
"Kenny Gainwell","TB","105.8","463.4","3.8","44.7","311.8","1.9","0.9","131.9"
"Jordan Mason","MIN","172.6","790.9","5.6","17.4","99.3","0.4","1.1","131.3"
"Josh Jacobs","GB","157.7","639.4","6.0","21.1","162.6","1.0","1.0","130.8"
"Blake Corum","LAR","167.1","783.7","6.1","11.3","77.4","0.3","0.7","128.6"
"MarShawn Lloyd","GB","167.8","709.5","5.7","15.2","118.8","0.7","1.8","125.1"
"Woody Marks","HOU","152.1","608.5","3.1","24.4","195.5","1.6","0.8","119.3"
"Tyjae Spears","TEN","100.6","408.4","2.8","39.8","263.9","1.1","0.7","109.0"
"Zach Charbonnet","SEA","125.9","513.8","5.3","18.4","136.3","0.5","0.7","107.5"
"Alvin Kamara","NO","111.3","437.3","2.6","32.0","222.2","0.9","0.8","101.2"
"AJ Dillon","CAR","121.0","532.0","3.0","18.0","146.0","1.0","5.0","90.8"
"Dylan Sampson","CLE","72.0","260.6","1.4","37.7","284.0","1.9","1.2","90.3"
"Tyler Allgeier","ARI","101.6","394.8","3.3","22.5","163.2","0.4","0.6","88.5"
"Isiah Pacheco","DET","119.1","514.7","2.8","14.6","90.8","0.8","0.7","88.1"
"Braelon Allen","NYJ","115.6","472.1","4.1","13.0","94.1","0.6","1.7","87.9"
"Chris Rodriguez Jr.","JAC","128.3","540.2","4.7","4.1","32.6","0.0","0.6","86.4"
"Kaelon Black","SF","113.6","452.6","3.6","10.6","95.2","0.7","1.2","83.4"
"Brian Robinson Jr.","ATL","120.5","512.8","3.7","7.6","51.7","0.2","0.7","81.7"
"Samaje Perine","CIN","87.8","386.7","3.0","17.1","136.3","0.5","1.9","77.9"
"Mike Washington Jr.","LV","105.3","414.9","2.7","14.6","116.0","0.5","1.2","77.3"
"Justice Hill","BAL","49.6","236.0","1.8","25.4","219.9","1.4","0.2","77.1"
"Tank Bigsby","PHI","97.6","462.1","3.6","6.5","50.8","0.2","0.7","76.2"
"Chris Brooks","GB","93.5","408.7","2.1","16.9","113.9","0.5","0.6","75.1"
"Keaton Mitchell","LAC","89.7","401.6","2.1","14.6","107.0","0.4","0.7","72.2"
"Najee Harris","NYG","93.6","392.3","2.6","11.1","75.5","0.2","0.2","69.0"
"Ty Johnson","BUF","48.6","208.7","1.8","18.1","192.8","1.6","0.2","68.9"
"Tyrone Tracy Jr.","NYG","87.0","373.8","1.7","14.4","107.1","0.7","0.6","68.4"
"Jordan James","SF","86.9","348.7","2.4","12.3","108.6","0.5","1.1","67.3"
"Emanuel Wilson","SEA","82.4","348.3","2.3","9.3","64.1","0.2","0.5","60.1"
"Velus Jones Jr.","SEA","53.9","225.0","1.3","16.2","118.6","0.8","0.0","55.2"
"Jaylen Wright","MIA","76.8","300.9","1.5","12.1","88.0","0.3","1.3","53.0"
"Malik Davis","DAL","62.4","289.1","2.1","6.0","46.6","0.1","0.6","48.6"
"Kimani Vidal","LAC","51.6","206.3","1.4","9.4","80.5","0.5","0.1","44.6"
