"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","89.5","964.1","7.5","0.8","185.5"
"Sam LaPorta","DET","86.3","894.0","7.7","0.4","178.1"
"Mark Andrews","BAL","71.9","869.8","7.9","0.5","169.3"
"Trey McBride","ARI","86.0","881.8","5.1","0.5","160.6"
"George Kittle","SF","65.4","881.6","6.0","0.4","156.1"
"Dalton Kincaid","BUF","82.2","822.0","5.4","0.8","154.1"
"Kyle Pitts","ATL","67.8","875.5","5.1","0.4","151.5"
"Evan Engram","JAC","85.6","788.4","4.4","0.9","146.1"
"Jake Ferguson","DAL","70.7","736.2","5.9","0.4","143.5"
"David Njoku","CLE","69.9","771.9","5.4","1.2","142.3"
"Brock Bowers","LV","62.6","696.3","4.6","1.1","126.3"
"Dallas Goedert","PHI","65.4","690.7","4.0","0.5","124.9"
"Dalton Schultz","HOU","56.9","606.8","4.9","0.8","116.7"
"Pat Freiermuth","PIT","55.7","582.7","4.2","0.5","110.5"
"T.J. Hockenson","MIN","58.3","583.2","3.2","0.8","105.2"
"Tyler Conklin","NYJ","53.3","532.1","3.3","0.1","99.6"
"Hunter Henry","NE","47.8","495.0","4.2","0.1","98.6"
"Cole Kmet","CHI","50.1","495.7","4.1","0.4","98.6"
"Taysom Hill","NO","27.8","263.7","2.1","0.3","96.7"
"Cade Otton","TB","49.2","489.8","3.7","0.4","95.2"
"Luke Musgrave","GB","46.7","489.1","3.4","0.1","92.5"
"Chigoziem Okonkwo","TEN","48.2","513.3","2.7","0.4","90.8"
"Juwan Johnson","NO","40.5","441.0","4.1","0.1","88.9"
"Noah Fant","SEA","45.9","489.8","2.8","0.1","88.4"
"Isaiah Likely","BAL","34.2","411.5","3.9","0.1","81.5"
"Jonnu Smith","MIA","37.8","415.2","2.9","0.4","76.7"
"Hayden Hurst","LAC","40.6","390.6","2.9","0.1","76.3"
"Mike Gesicki","CIN","36.2","356.6","3.1","0.1","72.5"
"Zach Ertz","WAS","38.0","351.0","2.7","0.1","69.9"
"Ben Sinnott","WAS","36.8","376.1","2.4","0.4","69.8"
"Tucker Kraft","GB","33.9","354.0","2.6","0.1","67.6"
"Greg Dulcich","DEN","34.6","387.1","1.9","0.1","67.5"
"Dawson Knox","BUF","28.3","297.5","3.3","0.1","63.4"
"Gerald Everett","CHI","32.9","306.0","2.6","0.1","62.4"
"Tyler Higbee","LAR","31.5","321.4","2.0","0.1","59.9"
"Daniel Bellinger","NYG","33.2","314.5","2.0","0.1","59.6"
"Ja'Tavion Sanders","CAR","29.9","311.2","2.3","0.4","59.1"
"Michael Mayer","LV","29.4","317.0","2.0","0.1","58.3"
"Theo Johnson","NYG","32.3","312.8","2.0","0.6","58.2"
"Kylen Granson","IND","28.4","307.3","1.9","0.1","56.1"
"Tommy Tremble","CAR","27.5","261.5","2.5","0.1","54.5"
"Colby Parkinson","LAR","26.7","281.0","2.2","0.1","54.3"
"Jelani Woods","IND","26.0","292.0","2.0","0.0","54.2"
"Noah Gray","KC","23.0","241.2","1.8","0.1","46.1"
"Will Dissly","LAC","23.7","230.0","1.5","0.1","43.9"
"Mo Alie-Cox","IND","16.9","189.9","2.0","0.0","39.5"
"Durham Smythe","MIA","20.0","194.8","1.3","0.0","37.3"
"Adam Trautman","DEN","18.1","176.8","1.6","0.0","36.2"
"Tanner Hudson","CIN","18.2","175.4","1.4","0.0","35.0"
"Brevin Jordan","HOU","14.2","179.2","1.7","0.0","35.0"
"Brock Wright","DET","17.0","163.6","1.6","0.1","34.6"
"Jaheim Bell","NE","16.5","172.0","1.5","0.0","34.5"
"Austin Hooper","NE","19.6","185.4","0.9","0.0","33.9"
"Josh Oliver","MIN","17.6","171.4","1.3","0.4","32.9"
"Elijah Higgins","ARI","16.3","177.7","1.0","0.0","31.8"
