"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Ja'Marr Chase","CIN","119.5","1,545.6","12.0","1.6","11.5","0.0","0.6","286.3"
"Justin Jefferson","MIN","103.4","1,444.5","9.2","0.5","3.6","0.0","0.6","250.5"
"CeeDee Lamb","DAL","109.8","1,328.8","7.7","9.2","59.3","0.3","1.0","239.5"
"Puka Nacua","LAR","105.7","1,373.5","6.6","10.7","61.5","0.6","0.6","238.4"
"Amon-Ra St. Brown","DET","108.9","1,249.4","8.9","1.9","12.6","0.1","0.9","232.5"
"Malik Nabers","NYG","104.8","1,279.1","7.7","2.6","11.6","0.0","0.6","226.9"
"Brian Thomas Jr.","JAC","90.7","1,268.8","8.4","3.8","25.3","0.0","0.6","223.9"
"Nico Collins","HOU","89.4","1,281.3","8.5","0.0","1.4","0.0","0.5","223.0"
"Ladd McConkey","LAC","93.6","1,249.0","7.6","0.0","1.4","0.0","0.7","216.2"
"Drake London","ATL","92.7","1,160.8","7.8","0.3","2.0","0.0","0.6","208.3"
"Tyreek Hill","MIA","92.1","1,136.4","7.5","7.2","33.3","0.1","0.6","207.6"
"A.J. Brown","PHI","81.0","1,196.1","8.1","0.0","0.0","0.0","0.9","207.1"
"Mike Evans","TB","79.1","1,067.7","9.9","0.0","0.0","0.0","0.5","204.5"
"Tee Higgins","CIN","85.7","1,087.8","8.8","0.0","0.0","0.0","0.9","202.5"
"Terry McLaurin","WAS","82.7","1,104.3","8.4","1.1","4.6","0.0","0.9","200.7"
"Davante Adams","LAR","84.8","1,086.9","8.3","0.3","0.0","0.0","0.5","199.6"
"Jaxon Smith-Njigba","SEA","92.7","1,084.8","6.4","2.6","17.7","0.0","0.6","194.2"
"Marvin Harrison Jr.","ARI","78.1","1,083.2","7.7","0.0","0.0","0.0","1.0","191.6"
"DK Metcalf","PIT","75.6","1,109.2","7.2","0.0","0.0","0.0","1.3","189.6"
